execucao,ponto,z,n_max,j1,gn,n,qnt_q_values,Aq,pi_tau,frac_exp,ops_gn,gn1,ot,op
0,0.1,l2,4,10.626746344001731,5.36629195898422,1,151,1.3485516941000242,0.005655008862959221,0.006169823987875134,0.005797304940642789,5.2579781750100665,0.0011723740317393094,0.0011069170432165265
0,0.1,l2,4,10.626746344001731,5.36629195898422,2,151,1.3427148851333186,0.005897702008951455,0.006485618912847713,0.006235698965610936,5.2579781750100665,0.0011723740317393094,0.0011069170432165265
0,0.1,l2,4,10.626746344001731,5.36629195898422,3,151,1.2904169608664233,0.005233113275608048,0.005913802946452051,0.005698634951841086,5.2579781750100665,0.0011723740317393094,0.0011069170432165265
0,0.1,l2,4,10.626746344001731,5.36629195898422,4,151,1.3124614720290992,0.005405150732258335,0.006014726124703884,0.00576949815149419,5.2579781750100665,0.0011723740317393094,0.0011069170432165265
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,1,151,1.3189360491815023,0.005189844086999074,0.005626404832582921,0.005588500032899901,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,2,151,1.3180837240361143,0.0051472831692080945,0.005606142949545756,0.005586715822573751,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,3,151,1.3051872752257623,0.005151779012521729,0.005557365919230506,0.005462813744088635,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,4,151,1.2928450188192073,0.005240311176748946,0.0056535559124313295,0.005542166822124273,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,5,151,1.299570393835893,0.005274007708067074,0.005646900273859501,0.005546958098420873,27.555485406919615,0.005729159020120278,0.0049196309701073915
0,10.049999999999999,l2,21,55.128445426991675,27.561470225977246,6,151,1.2981040801969357,0.00520192738622427,0.0055780957627575845,0.005465645168442279,27.555485406919615,0.005729159020120278,0.0049196309701073915
